t,cmd_px,cmd_py,cmd_pz,cmd_qx,cmd_qy,cmd_qz,cmd_qw,cmd_jaw_sep,grip_px,grip_py,grip_pz,grip_qx,grip_qy,grip_qz,grip_qw,grip_jaw_sep,peg_px,peg_py,peg_pz,peg_qx,peg_qy,peg_qz,peg_qw,f_gripper_peg,f_peg_table,f_peg_cuboid,f_cuboid_table
28,0.1986737512060375,0.20198867963684428,0.2059676125113616,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.1986737512060375,0.20198867963684428,0.2059676125113616,1.0,0.0,0.0,6.123233995736766e-17,0.01000013107041404,0.199999719042862,0.199999719042862,0.049999900191396295,2.754485785159309e-06,-2.7544857851593075e-06,5.010210352051828e-22,0.9999999999924127,0.0,0.9810000001951632,0.0,9.963090991118017
29,0.1989389447734024,0.20159088751804782,0.20177407004736853,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.1989389447734024,0.20159088751804782,0.20177407004736853,1.0,0.0,0.0,6.123233995736766e-17,0.010000131070463967,0.1999997190428362,0.1999997190428362,0.049999900191381015,2.7544860345601175e-06,-2.7544860345601137e-06,5.0108565869053895e-22,0.9999999999924127,0.0,0.9810000000948538,0.0,9.782191875377867
30,0.19915109962728916,0.2012726538230055,0.198419236076171,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.19915109962728916,0.2012726538230055,0.198419236076171,1.0,0.0,0.0,6.123233995736766e-17,0.01000013107058672,0.19999971904282354,0.19999971904282354,0.04999990019137363,2.7544861550332646e-06,-2.754486155033259e-06,5.03701294260331e-22,0.9999999999924127,0.0,0.981000000045477,0.0,9.792249631289343
31,0.19932082351039604,0.2010180668669691,0.19573536889921153,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.19932082351039604,0.2010180668669691,0.19573536889921153,1.0,0.0,0.0,6.123233995736766e-17,0.010000131070717956,0.19999971904281724,0.19999971904281724,0.04999990019137008,2.7544862129964326e-06,-2.7544862129964254e-06,5.053039566971647e-22,0.9999999999924127,0.0,0.9810000000220529,0.0,9.801341690978774
32,0.19945660261688028,0.20081439730213874,0.19358827515764324,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.19945660261688028,0.20081439730213874,0.19358827515764324,1.0,0.0,0.0,6.123233995736766e-17,0.010000131070836122,0.19999971904281402,0.19999971904281402,0.049999900191368386,2.754486240730901e-06,-2.7544862407308917e-06,5.070261725819073e-22,0.9999999999924127,0.0,0.9810000000106875,0.0,9.805850411441194
33,0.19956522590206702,0.20065146165027378,0.19187060016438826,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.19956522590206702,0.20065146165027378,0.19187060016438826,1.0,0.0,0.0,6.123233995736766e-17,0.010000131070935912,0.19999971904281236,0.19999971904281236,0.04999990019136761,2.7544862533635767e-06,-2.7544862533635657e-06,5.073783705770985e-22,0.9999999999924127,0.0,0.9810000000052987,0.0,9.80801371837118
34,0.19965212453021608,0.2005211131287815,0.19049646016978414,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.19965212453021608,0.2005211131287815,0.19049646016978414,1.0,0.0,0.0,6.123233995736766e-17,0.010000131071017835,0.1999997190428111,0.1999997190428111,0.04999990019136708,2.754486261839893e-06,-2.75448626183988e-06,5.076077839501131e-22,0.9999999999924127,0.0,0.981000000001422,0.0,9.809049292014665
35,0.19972164343273507,0.2004168343115874,0.18939714817410072,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.19972164343273507,0.2004168343115874,0.18939714817410072,1.0,0.0,0.0,6.123233995736766e-17,0.010000131071084207,0.19999971904281041,0.19999971904281041,0.049999900191366894,2.754486264949876e-06,-2.75448626494986e-06,5.0719419364383335e-22,0.9999999999924127,0.0,0.9810000000019711,0.0,9.80954495110659
36,0.19977725855475015,0.20033341125783202,0.18851769857755396,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.19977725855475015,0.20033341125783202,0.18851769857755396,1.0,0.0,0.0,6.123233995736766e-17,0.010000131071137636,0.19999971904280991,0.19999971904280991,0.049999900191366825,2.7544862661230794e-06,-2.7544862661230603e-06,5.077111815266829e-22,0.9999999999924127,0.0,0.9810000000006542,0.0,9.809782194081532
37,0.1998217506523621,0.2002666728148276,0.18781413890031654,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.1998217506523621,0.2002666728148276,0.18781413890031654,1.0,0.0,0.0,6.123233995736766e-17,0.01000013107118051,0.19999971904280942,0.19999971904280942,0.049999900191366756,2.7544862671939908e-06,-2.7544862671939687e-06,5.085577491848491e-22,0.9999999999924127,0.0,0.98100000000001,0.0,9.809895748749348
